1 5 16 2 1 2 226 9 19 6 417 2 130
2 5 15 3 293 2 301 3 31 6 428 5 135
3 5 22 10 309 10 283 1 45 1 388 6 257
4 5 16 5 366 2 243 7 45 5 272 1 400
5 5 22 6 149 7 16 7 468 6 167 2 15
6 5 24 7 85 6 274 4 95 7 489 7 395
7 5 24 10 30 9 415 1 177 3 327 8 81
8 5 24 6 118 2 338 4 149 9 275 10 315
9 5 27 10 107 6 431 6 417 2 108 10 214
10 5 16 1 173 1 135 7 317 8 351 3 43
11 5 28 5 304 8 227 8 376 7 154 8 407
12 5 24 5 372 2 69 6 347 8 233 9 361
13 5 20 4 99 7 175 10 158 2 384 2 165
14 5 21 5 286 4 341 9 370 2 475 7 24
15 5 26 10 190 8 110 1 322 4 131 10 252
16 5 28 10 464 6 219 7 319 10 483 3 101
17 5 20 9 385 8 366 1 420 3 309 5 51
18 5 32 8 69 9 387 10 48 9 320 5 277
19 5 15 3 206 2 314 2 377 3 191 9 396
20 5 18 7 33 1 238 2 452 6 392 7 346
21 5 28 9 200 8 66 8 385 6 32 4 474
22 5 16 2 319 5 132 8 142 5 338 1 445
23 5 21 6 460 3 318 7 439 4 28 7 86
24 5 25 6 405 7 121 4 57 6 251 9 490
25 5 24 7 427 6 155 7 413 5 188 5 171
26 5 24 9 84 6 467 2 495 8 133 6 199
27 5 24 10 490 5 496 2 456 9 277 5 93
28 5 16 3 150 5 112 5 472 3 389 5 123
29 5 16 1 455 4 332 10 430 2 40 4 194
30 5 17 1 92 8 256 3 413 4 316 6 421
31 5 24 10 177 1 34 9 52 6 166 4 267
32 5 22 5 316 2 148 6 102 10 144 5 395
33 5 12 2 393 2 245 9 412 1 240 1 405
34 5 27 5 234 5 429 9 59 10 356 5 407
35 5 18 5 128 3 183 3 203 3 464 9 474
36 5 14 5 156 2 31 3 192 2 60 6 403
37 5 24 4 249 5 395 5 351 9 193 8 44
38 5 20 2 222 10 150 6 55 3 302 5 117
39 5 21 4 470 4 481 7 231 5 21 7 4
40 5 21 3 135 4 174 7 455 3 129 10 170
41 5 24 1 2 10 284 7 160 10 85 2 142
42 5 19 10 426 1 145 9 47 1 17 3 488
43 5 20 4 300 1 138 2 373 9 448 10 162
44 5 29 8 215 9 190 3 105 7 49 10 178
45 5 16 1 166 5 387 4 162 10 428 1 104
46 5 21 6 245 1 75 6 353 8 420 6 174
47 5 27 10 301 2 387 6 76 7 448 9 236
48 5 16 3 418 5 251 3 161 8 365 2 71
49 5 24 9 487 6 441 2 296 5 76 9 327
50 5 31 5 151 10 188 10 298 7 241 7 42
51 5 13 8 295 2 479 2 114 3 262 2 247
52 5 19 5 77 5 83 5 60 6 297 3 105
53 5 24 10 215 5 384 2 408 4 390 10 349
54 5 20 9 400 2 449 1 426 8 208 5 50
55 5 27 7 220 9 362 4 75 8 413 6 439
56 5 30 10 58 10 399 1 376 8 208 9 466
57 5 26 10 159 3 356 1 207 10 468 9 298
58 5 16 2 167 9 158 7 434 1 430 1 188
59 5 13 3 149 2 390 2 452 8 84 2 329
60 5 13 8 463 2 197 3 206 1 206 3 30
61 5 25 5 208 10 96 6 8 8 490 3 377
62 5 23 2 215 3 313 9 397 10 257 5 376
63 5 22 8 179 6 484 4 307 1 230 9 158
64 5 27 6 19 2 283 10 201 9 436 7 231
65 5 16 7 101 2 226 1 358 6 315 5 338
66 5 19 1 310 6 206 3 463 6 59 8 121
67 5 23 8 53 6 94 8 284 1 489 6 256
68 5 26 10 71 7 72 6 183 6 466 4 38
69 5 16 2 65 8 178 3 108 6 67 1 435
70 5 28 9 331 10 410 5 369 9 457 2 392
71 5 24 6 131 3 160 5 154 6 442 10 18
72 5 31 10 182 3 33 8 285 10 406 8 118
73 5 25 5 65 7 186 10 114 6 29 4 2
74 5 16 1 438 4 182 6 233 7 215 2 386
75 5 13 3 10 2 330 9 425 1 124 2 419
76 5 26 3 210 9 408 10 286 9 306 2 62
77 5 12 3 270 5 166 1 337 4 83 3 285
78 5 24 7 119 2 437 8 495 7 475 6 39
79 5 13 6 347 2 214 5 367 1 423 3 358
80 5 33 9 441 4 147 10 115 10 265 9 298
81 5 8 1 172 7 344 1 338 1 319 1 162
82 5 15 6 12 3 260 8 179 1 388 1 410
83 5 20 6 354 7 484 1 327 10 125 2 134
84 5 28 1 377 10 41 4 287 10 188 10 324
85 5 8 1 258 1 450 3 368 5 463 1 16
86 5 18 5 472 3 368 9 357 5 382 1 205
87 5 20 6 150 5 289 9 384 2 265 4 357
88 5 20 2 388 2 315 7 193 7 466 7 371
89 5 18 5 438 10 263 2 248 4 386 2 408
90 5 15 6 247 2 203 6 19 1 374 4 397
91 5 26 9 119 4 266 4 462 9 377 7 276
92 5 16 10 149 2 483 4 185 3 499 1 191
93 5 20 5 165 5 281 6 485 6 276 3 70
94 5 29 6 434 8 121 10 67 4 224 9 486
95 5 29 9 41 5 321 4 42 9 256 10 195
96 5 26 2 500 9 392 8 442 10 226 4 185
97 5 19 9 381 2 224 4 8 8 109 1 471
98 5 22 9 83 3 79 10 229 1 268 5 337
99 5 13 1 197 3 318 4 360 5 174 4 107
100 5 24 1 383 10 206 5 450 10 290 5 90
