3 15 760 98 320 79 83 94 30 84 415 7 177 30 327 75 81 88 265 24 99 68 171 30 427 55 472 63 477 96 107 59 431
4 15 760 94 30 79 83 7 177 24 99 63 477 30 327 55 472 96 107 84 415 30 427 75 81 98 320 88 265 68 171 59 431
5 15 760 30 427 63 477 7 177 94 30 68 171 24 99 84 415 59 431 96 107 88 265 55 472 79 83 30 327 98 320 75 81
6 15 760 30 427 79 83 88 265 7 177 63 477 94 30 30 327 96 107 68 171 84 415 55 472 24 99 98 320 59 431 75 81
7 15 760 24 99 55 472 68 171 30 327 30 427 94 30 63 477 75 81 7 177 79 83 84 415 88 265 96 107 98 320 59 431
8 15 760 68 171 7 177 79 83 75 81 63 477 88 265 59 431 96 107 98 320 24 99 30 427 94 30 84 415 30 327 55 472
9 15 760 7 177 88 265 68 171 30 427 84 415 59 431 30 327 94 30 24 99 75 81 79 83 63 477 96 107 55 472 98 320
10 15 760 24 99 98 320 79 83 88 265 30 427 94 30 63 477 55 472 30 327 59 431 68 171 7 177 84 415 75 81 96 107
11 15 760 30 327 98 320 63 477 88 265 79 83 7 177 94 30 84 415 55 472 68 171 59 431 96 107 75 81 30 427 24 99
12 15 760 96 107 84 415 75 81 63 477 30 327 55 472 88 265 30 427 7 177 79 83 98 320 68 171 94 30 24 99 59 431
13 15 760 98 320 68 171 7 177 24 99 84 415 96 107 75 81 88 265 94 30 30 327 59 431 30 427 79 83 55 472 63 477
14 15 760 68 171 96 107 24 99 94 30 59 431 7 177 79 83 55 472 88 265 30 327 63 477 98 320 75 81 30 427 84 415
15 15 760 84 415 79 83 75 81 7 177 94 30 98 320 30 327 96 107 68 171 24 99 59 431 88 265 63 477 55 472 30 427
16 15 760 30 327 59 431 79 83 30 427 7 177 96 107 98 320 88 265 55 472 68 171 24 99 75 81 63 477 94 30 84 415
17 15 760 30 427 68 171 55 472 7 177 63 477 30 327 88 265 84 415 94 30 98 320 24 99 59 431 79 83 96 107 75 81
18 15 760 94 30 7 177 30 327 84 415 55 472 59 431 68 171 96 107 98 320 63 477 75 81 24 99 30 427 79 83 88 265
19 15 760 94 30 30 327 98 320 59 431 79 83 75 81 55 472 30 427 96 107 24 99 88 265 7 177 84 415 68 171 63 477
